Longitude,Latitude,Adres,Type Lader
50.112.056,52.078.858,Aardaker 4 De Meern,Stopcontact NewMotion 02000076 mennekes
461.381.256,52.369.875.984,Stephensonstraat 25 Haarlem,Krachtstroom E-laad DB0332 mennekes
58.602.404.594.421,51.731.440.576.953,Beersebaan  1 Cuijk,Krachtstroom Shell Nabuurs Cuijk mennekes
4.358.812.953,52.016.115.912,Paardenmarkt 21 Delft,Krachtstroom E-laad DB0310 mennekes
47.039.616.107.941,52.290.140.417.532,Taurusavenue 60 Hoofddorp,Krachtstroom Park 20|20 Experience Center mennekes
49.416.160.583.496,52.314.191.768.567,Burgemeester Stramanweg 130 Amsterdam Zuidoost,Krachtstroom P+R ArenA mennekes
4.265.597,52.082.334,Sportlaan 596 Den Haag,Krachtstroom E-laad AL870 mennekes
4.826.147,52.233.127,Korte Boterdijk 8 Uithoorn,Krachtstroom E-laad AL832 mennekes
55.814.945.697.784,51.765.907.741.651,Landbouwlaan 229 Berghem,Krachtstroom Landbouwlaan mennekes
48.801.612.854.004,52.362.517.355.061,Stadhouderskade 12 Amsterdam,Stopcontact Amsterdam Marriott Hotel schuko
5.314.631,51.689.035,Zuid Willemsvaart 548 's-Hertogenbosch,Krachtstroom E-laad AL66 mennekes
509.004.068.374.634,518.336.791.992.188,Industrieweg 2 Vuren,Stopcontact NewMotion 02001851 mennekes
515.104.579.925.537,523.009.605.407.715,Amsterdamsestraatweg 15 Naarden,Stopcontact NewMotion 02001351 mennekes
51.510.459,523.009.599,Amsterdamsestraatweg 15 Naarden,Stopcontact NewMotion 02001433 mennekes
59.347.574.490.738,529.580.733.891.334,Abe Lenstra Boulevard 50 Heerenveen,Snellader NewMotion 00055103977E chademo
58.222.315,531.931.096,Tijnjedyk 91 Leeuwarden,Stopcontact NewMotion 02001360 mennekes
49.696.984,523.427.359,Kruisstraat 2 Utrecht,Stopcontact NewMotion 02001509 mennekes
5.359.970.449,5.214.915.475,Kappeyne van de Coppellolaan 47 Amersfoort,Krachtstroom E-laad AL873 mennekes
44.223.618.507.385,52.014.848.616.165,Overgauwseweg 12 Pijnacker,Stopcontact SolSolutions Maakt zonne-energie rendabel schuko
39.192.786.812.782,51.643.989.151.953,Industrieweg 14 Zierikzee,Krachtstroom ABS van Lint Autoschade Zierikzee mennekes
5.578.496,5.232.336,Groot- Horloo 98 Ermelo,Krachtstroom E-laad AL880 mennekes
4.272.452.551,51.477.228.411,Wijtingstraat 2 Bergen op Zoom,Krachtstroom E-laad DB0029 mennekes
5.365.346,51.716.693,Pastoriestraat 31 Rosmalen,Krachtstroom E-laad AL876 mennekes
5.391.766.822,52.187.792.022,Laan der Winden 3 Amersfoort,Krachtstroom E-laad DB0033 mennekes
5.828.455,51.835.125,Danielsplein 3 Nijmegen,Krachtstroom E-laad REE225 mennekes
499.937.152.862.549,515.869.560.241.699,Lemsterlandstraat 10 Tilburg,Stopcontact NewMotion 02000944 mennekes
4.306.027.364,52.074.711.189,Varkenmarkt 49 Den Haag,Krachtstroom E-laad AL852 mennekes
4.309.280.364,52.081.036.154,Kneuterdijk 15 Den Haag,Krachtstroom E-laad AL871 mennekes
517.680.168.151.855,516.943.168.640.137,Kerkstraat 30 Nieuwkuijk,Stopcontact NewMotion 02000195 mennekes
5.518.036,51.445.843,Graviuspad 2 Eindhoven,Krachtstroom E-laad AL782 mennekes
426.660.633.087.158,519.198.722.839.355,Vermeerlaan 30 Maassluis,Stopcontact NewMotion 02002513 mennekes
44.768.188,519.185.379,Crispijnstraat 8 Rotterdam,Stopcontact NewMotion 02000849 mennekes
44.757.702,519.177.788,Oude Binnenweg 59 Rotterdam,Stopcontact NewMotion 02000763 mennekes
51.035.193,518.988.668,Handelstraat 2 Leerdam,Stopcontact NewMotion 02000675 mennekes
44.351.232,522.056.986,Mandenmakerstraat 4 Katwijk,Stopcontact NewMotion 02000443 mennekes
43.847.250.938.416,5.115.788.959.299,Boomsesteenweg 755 Antwerpen,Krachtstroom Ikea Wilrijk mennekes
4.364.424.135,52.010.602.107,Kruisstraat 75 Delft,Krachtstroom E-laad DB0308 mennekes
5.581.016,517.659.849,Landbouwlaan 229 Berghem,Stopcontact NewMotion 02001891 mennekes
71.653.335,529.805.793,Ruiten A Kanaal Oost III 4 Vlagtwedde,Stopcontact NewMotion 02002938 mennekes
46.332.573.890.686,524.473.266.601.562,Spieghellaan 19 Driehuis,Stopcontact NewMotion 02001575 mennekes
5.965.833.865,52.215.417.029,Stationsstraat 158 Apeldoorn,Krachtstroom E-laad DB0300 mennekes
4.311.423.684,51.906.663.824,Coornhertstraat 96 Vlaardingen,Krachtstroom E-laad DB0292 mennekes
3.624.054,51.497.345,Kanaalweg 3 Middelburg,Krachtstroom E-laad AL536 mennekes
584.502.983.093.262,510.026.016.235.352,Industriestraat 31 Sittard,Stopcontact NewMotion 01001183 mennekes
570.612.955.093.384,50.848.274.230.957,Stationsplein 17 Maastricht,Stopcontact NewMotion 01001044 mennekes
51.598.674.058.914,5.160.511.296.083,Kreitenmolenstraat 201 Udenhout,Krachtstroom Hoppenbrouwers Elektrotechniek BV mennekes
5.073.461,52.046.937,Tapirweide 19 Nieuwegein,Krachtstroom E-laad REE200 mennekes
5.366.521,51.736.461,Deltapark 3 Rosmalen,Krachtstroom E-laad AL877 mennekes
4.822.332,52.654.546,Hunze 32 Heerhugowaard,Krachtstroom E-laad AL840 mennekes
4.739.692,52.067.028,Goudseweg 32 Bodegraven,Snellader NewMotion DBTQC442G-000810 chademo
525.277.519.226.074,523.585.090.637.207,Veluwezoom 45 Almere,Snellader NewMotion t100.2-4011gyty003 chademo
439.700.698.852.539,519.976.692.199.707,N470 Delfgauw,Snellader NewMotion t_051811lj001ybhiz chademo
5.230.681,5.223.558,Rijksweg 2A Eemnes,Snellader NewMotion t100.2-4111apmi004 chademo
542.313.984.540.374,514.362.276.559.007,Noord Brabantlaan 350 Eindhoven,Snellader NewMotion t51-0312qymp003 chademo
542.308.083.680.541,51.436.204.665.211,Noord Brabantlaan 350 Eindhoven,Snellader NewMotion t51-4911pucx005 chademo
545.966.720.581.055,521.683.120.727.539,De Beek 1 Hoevelaken,Stopcontact NewMotion 02002274 mennekes
5.969.025,51.962.158,Dorpsplein 20 Westervoort,Krachtstroom E-laad REE217 mennekes
5.496.195,52.524.704,Schroefstraat 30 Lelystad,Krachtstroom E-laad DB0032 mennekes
552.402,52.539.945,Steenstraat 2 Lelystad,Krachtstroom E-laad DB0039 mennekes
5.191.917,5.206.738,J.F. Kennedylaan 101 Bunnik,Krachtstroom E-laad AL875 mennekes
51.626.706,522.211.638,Otto's Laan 3 Hilversum,Stopcontact NewMotion 02002179 mennekes
5.985.648,52.179.406,Lange Amerikaweg 72 Apeldoorn,Snellader NewMotion t100.2-4011ybfy002 chademo
4.352.329,52.016.503,Noordeinde 54 Delft,Krachtstroom E-laad DB0287 mennekes
5.995.215,5.196.656,Nieuwgraaf 30 Duiven,Snellader NewMotion PSSOCPP-000001 chademo
5.393.153.215,52.148.549.603,Albert Hahnstraat 1 Amersfoort,Krachtstroom E-laad DB0212 mennekes
5.944.988,52.197.342,Europaweg 51 Apeldoorn,Krachtstroom E-laad REE100 mennekes
588.452,51.983.823,Onderlangs 10 Arnhem,Krachtstroom E-laad AL773 mennekes
4.628.515,52.400.992,Ijsbaanlaan 4 haarlem,Krachtstroom E-laad DB0329 mennekes
4.478.541,52.147.597,Vijf Meilaan 12 Leiden,Krachtstroom E-laad DB0339 mennekes
45.577.789,518.663.858,Krommeweg 1 Ridderkerk,Stopcontact NewMotion 02000932 mennekes
4.670.343,52.384.404,Laan van Decima 1 Haarlem,Snellader NewMotion PSSOCPP-000002 chademo
556.451.627.116.394,521.684.144.827.275,Zelderseweg 63 Terschuur,Snellader NewMotion 00055103978E chademo
556.453.504.662.704,521.683.536.135.079,Zelderseweg 63 Terschuur,Snellader NewMotion 00055103666C chademo
59.348.110.932.541,529.580.410.739.063,Abe Lenstra Boulevard 50 Heerenveen,Snellader NewMotion 000551036510 chademo
508.514.785.766.602,519.900.588.989.258,Prins Bernhardstraat 75 Vianen,Snellader NewMotion t_031411mag004jho chademo
60.595.041,525.299.591,Zomerdijkstraat 36 Zwolle,Stopcontact NewMotion 02001561 mennekes
617.418.549.073.795,513.950.551.353.966,E34 Venlo,Snellader NewMotion DBTQC442G-001031 chademo
5.871.204,5.187.054.901,Vrouwe Udasingel 201 Nijmegen,Krachtstroom E-laad REE222 mennekes
4.517.908,52.215.689,Wasbeeklaan 6 Warmond,Krachtstroom E-laad DB0344 mennekes
6.010.055.243.969,515.964.946.462,Spoorstraat 6 Vierlingsbeek,Krachtstroom Plus Verbeeten Vierlingsbeek - zijkant mennekes
4.832.321,52.694.436,Snelliusstraat 8 Heerhugowaard,Krachtstroom E-laad AL882 mennekes
535.050.821.304.321,51.980.339.050.293,Nachtegaal 43A Wijk bij Duurstede,Stopcontact NewMotion 02003229 mennekes
59.766.483.306.885,51.382.870.309.194,Middenpeelweg 5 N277 3 Sevenum,Stopcontact Recreatiecentrum De Schatberg schuko
61.903.989.315.033,52.061.554.635.309,Toldijkseweg 1 Steenderen,Krachtstroom Vroegindeweij mennekes
5.566.058,51.907.066,Molendam 29 Ochten,Krachtstroom E-laad DB0246 mennekes
46.963.763.237,52.305.657.855.448,Draverslaan 11 Hoofddorp,Krachtstroom Centrumgarage Hoofddorp mennekes
56.210.786.104.202,52.348.304.417.369,Vitringasingel 2A Harderwijk,Krachtstroom Houtwal garage mennekes
4.862.668,52.305.955,Rembrandtweg 168 Amstelveen,Krachtstroom E-laad AL837 mennekes
5.842.804,51.074.834,Kerkstraat 27 Susteren,Krachtstroom E-laad DB0320 mennekes
52.362.071,515.985.567,Eind 19C Haaren,Stopcontact NewMotion 02003437 mennekes
5.623.200.237.751,52.299.882.919.972,Stationsstraat 69 Ermelo,Krachtstroom Rabobank Ermelo mennekes
41.895.508.021.116,5.153.846.925.442,Postweg 8 Tholen,Stopcontact Shell Energy Service Station Deehoeve schuko
55.046.734.213.829,52.482.242.400.488,Larserplein 10 Lelystad,Krachtstroom Mac Donald A7  Lelystad mennekes
41.894.602.775.574,51.538.688.218.873,Postweg 8 Tholen,Stopcontact Shell Service Station Deehoeve schuko
4.357.259,52.020.071,Sint Eustatiusstraat 2 Delft,Krachtstroom E-laad DB0290 mennekes
5.027.396,52.311.516,Hogeweyselaan 73 Weesp,Krachtstroom E-laad REE239 mennekes
508.338.022.232.056,520.802.001.953.125,Kennedylaan 9 Utrecht,Stopcontact NewMotion 01000887 mennekes
57.896.972,508.377.482,'t Rooth 14 Margraten,Stopcontact NewMotion 02003131 mennekes
508.337.640.762.329,520.802.421.569.824,Kennedylaan 9 Utrecht,Stopcontact NewMotion 01001221 mennekes
481.573.009.490.967,527.781.982.421.875,Witte Paal 329 Schagen,Stopcontact NewMotion 01000435 mennekes
43.719.711.899.757,52.006.470.098.169,Schoemakerstraat 2 Delft,Krachtstroom Tu Delft Bouwkunde mennekes
579.747,51.463.179,Lindelaan 47 Deurne,Krachtstroom E-laad AL825 mennekes
4.884.163,52.303.475,Escapade 1 Amstelveen,Krachtstroom E-laad AL838 mennekes
5.280.014,51.737.338,Schout van Bergheslaan 13 's-Hertogenbosch,Krachtstroom E-laad AL878 mennekes
47.799.399,515.731.496,Marijke Meustraat 108 Breda,Stopcontact NewMotion 02003884 mennekes
50.043.915,518.298.874,Merwe Donk 66 Gorinchem,Stopcontact NewMotion 02003457 mennekes
615.489.149.093.628,513.329.200.744.629,Glazenapstraat 21 Tegelen,Stopcontact NewMotion 02004142 mennekes
453.034.830.093.384,520.472.297.668.457,Prismalaan West Bleiswijk,Stopcontact NewMotion 02003113 mennekes
46.953.241,523.051.573,Draverslaan 11 Hoofddorp,Stopcontact NewMotion 02001428 mennekes
434.862.995.147.705,520.996.017.456.055,Leidsestraatweg 57 The Hague,Stopcontact NewMotion 01000724 mennekes
488.076.019.287.109,517.140.007.019.043,Steurweg 8 Raamsdonksveer,Stopcontact NewMotion 01000811 mennekes
555.686.140.060.425,517.143.402.099.609,Heescheweg 29 Nistelrode,Stopcontact NewMotion 02001715 mennekes
49.007.606.506.348,52.367.686.349.434,Amstel 3 Amsterdam,Krachtstroom Stopera/Stadhuis parkeergarage mennekes
5.911.999,51.990.121,Graaf Ottoplein 5 Arnhem,Krachtstroom E-laad AL749 mennekes
4.783.496.907,51.592.055.659,Sophiastraat 11 Breda,Krachtstroom E-laad EVB-P1306060B1245231 mennekes
436.764.097.213.745,52.088.207.244.873,Populierendreef 460 Voorburg,Stopcontact NewMotion 02003750 mennekes
4.869.378,51.626.709,Beneluxweg 1 Oosterhout,Snellader NewMotion DBTQC442G-000780 chademo
461.908,51.978.043,IJssellaan 10 Nieuwerkerk aan den IJssel,Snellader NewMotion DBTQC442G-000755 chademo
489.301.061.630.249,524.035.949.707.031,Ms. Tarnweg 12 Amsterdam,Stopcontact NewMotion 02002454 mennekes
43.735.134.601.593,51.997.954.596.044,Feldmannweg 7 Delft,Krachtstroom TU Delft EWI mennekes
51.716.382.801.533,5.224.072.400.293,Sumatralaan 47 Hilversum,Krachtstroom RTL mennekes
43.758.523.464.203,52.002.363.638.834,Van der Waalsweg 2 Delft,Krachtstroom Tu Delft Bibliotheek mennekes
60.101.466.178.894,515.965.156.555.176,Spoorstraat 6 Vierlingsbeek,Stopcontact NewMotion 02004148 mennekes
50.436.853,520.256.347,Zomerdijk 14 IJsselstein,Stopcontact NewMotion 02001983 mennekes
6.774.661,52.286.964,Bornsestraat 400 Hengelo,Snellader NewMotion DBTQC442G-000789 chademo
549.460.792.541.504,514.387.397.766.113,Willem van Konijnenburglaan 7 Eindhoven,Stopcontact NewMotion 02003871 mennekes
46.674.485.206.604,523.890.495.300.293,Hulswitweg 14 Haarlem,Stopcontact NewMotion 02003228 mennekes
6.028.683,50.913.054,Brunsummerweg 43 Landgraaf,Krachtstroom E-laad AL70 mennekes
6.384.499.551,51.908.647.974,Boterweg 11 Silvolde,Krachtstroom E-laad DB0041 mennekes
51.720.285.415.649,52.236.147.934.652,Sumatralaan 45 Hilversum,Krachtstroom Parkeerdek Mediapark mennekes
4.639.015,52.386.778,Lange Herenstraat 9 Haarlem,Krachtstroom E-laad REE300 mennekes
62.914.860.248.566,52.381.578.709.005,Klipperweg 5 Raalte,Krachtstroom Toyota Morrenhof Raalte mennekes
61.434.280.872.345,5.249.745.935.443,ZalnÈweg 75 Zwolle,Krachtstroom Golfclub Zwolle mennekes
65.091.526.508.331,52.360.538.695.267,Marie Curiestraat  6 Nijverdal,Krachtstroom Auto Aaltink BV mennekes
6.055.987.933,50.910.620.147,Europaweg Zuid 214 Landgraaf,Krachtstroom E-laad AL122 mennekes
46.861.096,524.129.061,Dominee J. Schardamstraat 3 Spaarndam,Stopcontact NewMotion 02001373 mennekes
54.756.792,525.060.971,Zilverparkkade 112-130 Lelystad,Stopcontact NewMotion 02000782 mennekes
52.648.865,520.786.212,Graaf Janlaan 30 Zeist,Stopcontact NewMotion 02001651 mennekes
54.757.709,525.077.777,Stadhuisplein 2 Lelystad,Stopcontact NewMotion 02000798 mennekes
547.466.929.999.996,525.068.722,Reaalhof 100 Lelystad,Stopcontact NewMotion 02000792 mennekes
547.531.230.000.004,525.065.924,Reaalhof 31 Lelystad,Stopcontact NewMotion 02000853 mennekes
547.466.945.648.193,525.068.740.844.726,Reaalhof 100 Lelystad,Stopcontact NewMotion 02000756 mennekes
547.770.779.999.996,525.072.078,Neringweg 161-171 Lelystad,Stopcontact NewMotion 02000805 mennekes
516.390.085.220.337,520.368.576.049.805,Hoenderhoeve 15 Houten,Stopcontact NewMotion 02002747 mennekes
5.940.211,51.970.293,Westervoortsedijk 73 Arnhem,Snellader NewMotion DBTQC442G-000939 chademo
465.215.396.881.103,517.756.996.154.785,Laan van Londen 3T Dordrecht,Stopcontact NewMotion 02000814 mennekes
4.952.774,52.506.564,Purmersteenweg 42 Purmerend,Krachtstroom E-laad AL879 mennekes
43.773.919.343.948,51.998.099.919.731,Van den Burghweg 1 Delft,Krachtstroom Tu Delft CITG mennekes
60.651.834,525.335.586,Herautstraat 64 Zwolle,Stopcontact NewMotion 02000632 mennekes
479.758.620.000.007,518.202.284,Rivierdijk 223 Sliedrecht,Stopcontact NewMotion 02000511 mennekes
6.008.677,50.887.819,Jacques Schreursstraat 2 Landgraaf,Krachtstroom E-laad AL59 mennekes
43.690.341.711.044,52.001.244.080.341,Leeghwaterstraat 3-5 Delft,Krachtstroom Tu Delft IO mennekes
43.780.946.731.567,51.991.150.277.179,Anthony Fokkerweg 5 Delft,Krachtstroom Tu Delft Fellowship mennekes
4.895.729,52.077.007,Korenmolenlaan 4 Woerden,Krachtstroom E-laad DB0346 mennekes
63.313.801,530.677.121,Leeksterweg 29 Haulerwijk,Stopcontact NewMotion 02000616 mennekes
473.911.952.972.412,520.672.836.303.711,Goudseweg 32 Bodegraven,Stopcontact NewMotion 02000919 mennekes
53.807.968,522.013.249,Glaskruid 10 Amersfoort,Stopcontact NewMotion 02000948 mennekes
4.325.565,52.082.163,Anna van Buerenstraat 10 The Hague,Snellader NewMotion DBTQC442G-000906 chademo
454.902.362.823.486,52.160.041.809.082,Persant Snoepweg 4 Leiderdorp,Stopcontact NewMotion 02002582 mennekes
46.953.239.440.918,523.051.567.077.637,Draverslaan 11 Hoofddorp,Stopcontact NewMotion 02001460 mennekes
43.869.138,520.560.448,Prinses Catharina-Amaliastraat The Hague,Stopcontact NewMotion 02000790 mennekes
517.346.286.773.682,516.968.841.552.734,Vimmerik 36 Nieuwkuijk,Stopcontact NewMotion 02003799 mennekes
525.226.449.966.431,523.603.935.241.699,Ed van der Elskenhof 17 Almere,Stopcontact NewMotion 02002345 mennekes
502.904.939.651.489,520.716.743.469.238,Meerndijk 59 De Meern,Stopcontact NewMotion 02002597 mennekes
64.186.110.496.521,522.813.873.291.016,Gaardenstraat 27-29 Holten,Stopcontact NewMotion 02002682 mennekes
455.712.413.787.842,518.669.853.210.449,Krommeweg 1 Ridderkerk,Snellader NewMotion DBTQC442G-000937 chademo
48.577.292,523.031.617,Stadsplein 101 Amstelveen,Stopcontact NewMotion 02000388 mennekes
56.135.621,52.254.873,Da Costastraat 57 Putten,Stopcontact NewMotion 02001122 mennekes
4.636.713,52.377.309,De Witstraat 1 Haarlem,Krachtstroom E-laad REE301 mennekes
5.706.163,5.284.387,Stationsweg 20 Lemmer,Krachtstroom E-laad DB0289 mennekes
6.058.809,52.104.177,Oranje Nassauplein 40 Eerbeek,Krachtstroom E-laad AL120 mennekes
6.199.862,52.135.925,Houtwal 5 Zutphen,Krachtstroom E-laad DB0295 mennekes
54.536.929,514.649.456,Anthony van Opbergenstraat 47 Eindhoven,Stopcontact NewMotion 02001323 mennekes
562.827.014.923.096,520.448.036.193.848,Saasveld 26 Ede,Stopcontact NewMotion 02000507 mennekes
43.639.433.383.942,52.008.905.395.661,Zuidwal 14 Delft,Stopcontact Zuidpoortgarage schuko
5.760.467,51.849.422,Forelgracht 59 Beuningen,Krachtstroom E-laad DB0297 mennekes
57.994.145,532.064.221,Arendstuin 24 Leeuwarden,Stopcontact NewMotion 02001467 mennekes
48.647.816,520.743.631,De Geer 5 Woerden,Stopcontact NewMotion 02000972 mennekes
46.510.829,524.076.695,Sillemstraat 15 Haarlem,Stopcontact NewMotion 02000525 mennekes
43.190.487,520.772.773,Schedeldoekshaven 90 The Hague,Stopcontact NewMotion 02000946 mennekes
51.126.177,52.091.256,Stationsstraat 152 Utrecht,Stopcontact NewMotion 02001024 mennekes
54.805.222,514.442.195,Kennedyplein Eindhoven,Stopcontact NewMotion 02001292 mennekes
54.750.935,514.400.701,Emmasingel 2A Eindhoven,Stopcontact NewMotion 02001516 mennekes
577.369.785.308.838,516.573.486.328.125,Wezel 9 Wilbertoord,Stopcontact NewMotion 02002975 mennekes
572.423.076.629.639,518.204.345.703.125,Donkerstraat 2 Wijchen,Stopcontact NewMotion 02001658 mennekes
561.220.026.016.235,515.197.372.436.523,De Stater 6 Lieshout,Stopcontact NewMotion 02001702 mennekes
47.318.841,517.920.062,Hovenlaan 38 Dordrecht,Stopcontact NewMotion 02001842 mennekes
57.574.672,519.466.136,Poort van Midden Gelderland Groen 2 Heteren,Stopcontact NewMotion 02001729 mennekes
58.746.356,518.443.473,Graadt van Roggenstraat 18 Nijmegen,Stopcontact NewMotion 02003058 mennekes
4.586.935,52.456.381,Makreelkade 9 IJmuiden,Stopcontact NewMotion 02001200 mennekes
5.459.667,521.683.103,De Beek 1 Hoevelaken,Stopcontact NewMotion 02002473 mennekes
426.076.030.731.201,51.920.524.597.168,Bosboom Toussaintstraat 16 Maassluis,Stopcontact NewMotion 02001804 mennekes
54.757.709,525.077.777,Stadhuisplein 2 Lelystad,Stopcontact NewMotion 02000912 mennekes
54.963.008,525.244.576,Schroefstraat 30 Lelystad,Stopcontact NewMotion 02000758 mennekes
54.749.008,525.068.358,Reaalhof 31 Lelystad,Stopcontact NewMotion 02000862 mennekes
462.836.027.145.386,52.202.564.239.502,Voorstraat 10 Roelofarendsveen,Stopcontact NewMotion 02003293 mennekes
590.720.653.533.936,520.081.214.904.785,Schelmseweg 89 Arnhem,Stopcontact NewMotion 02001987 mennekes
551.559.591.293.335,514.352.951.049.805,Quinten Matsyslaan 65 Eindhoven,Stopcontact NewMotion 02004057 mennekes
49.250.292.778.015,52.324.835.535.341,De Flinesstraat 24 Amsterdam,Krachtstroom Makro mennekes
54.100.155.830.383,52.175.971.332.864,Printerweg 6 Amersfoort,Krachtstroom Kamer van Koophandel mennekes
54.813.247.919.083,51.438.022.196.454,Ten Hagestraat 6a Eindhoven,Krachtstroom Q-Park Heuvel mennekes
4.779.229,51.586.976,Oude Vest 21 Breda,Krachtstroom E-laad DB0282 mennekes
4.768.983,51.584.603,Fellenoordstraat 72 Breda,Krachtstroom E-laad DB0277 mennekes
4.781.461,51.588.818,Beyerd 5 Breda,Krachtstroom E-laad DB0280 mennekes
625.947.629.999.996,518.792,De Bongerd 20 's-Heerenberg,Stopcontact NewMotion 02002656 mennekes
415.422.773.361.206,517.652.473.449.707,Frederik van Eedenstraat 21 Sommelsdijk,Stopcontact NewMotion 02002896 mennekes
420.905.017.852.783,516.866.989.135.742,Crispijn 20 Oude-Tonge,Stopcontact NewMotion 01001066 mennekes
587.792.062.759.399,524.134.941.101.074,Houtrustweg 6 't Harde,Stopcontact NewMotion 02002413 mennekes
474.031,51.607.234,Maaibeemd 54 Breda,Krachtstroom E-laad AL76 mennekes
638.139.200.210.571,531.557.235.717.774,Euroweg 153 Leek,Stopcontact NewMotion 02003551 mennekes
